,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,param_random_state,params,split0_test_mcc,split1_test_mcc,split2_test_mcc,split3_test_mcc,split4_test_mcc,mean_test_mcc,std_test_mcc,rank_test_mcc,split0_train_mcc,split1_train_mcc,split2_train_mcc,split3_train_mcc,split4_train_mcc,mean_train_mcc,std_train_mcc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_auprc,split1_test_auprc,split2_test_auprc,split3_test_auprc,split4_test_auprc,mean_test_auprc,std_test_auprc,rank_test_auprc,split0_train_auprc,split1_train_auprc,split2_train_auprc,split3_train_auprc,split4_train_auprc,mean_train_auprc,std_train_auprc
0,0.014405393600463867,0.0012008706469786002,0.009799814224243164,0.0003996372649613014,True,balanced,,1,2,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.1988515990464937,0.6607928370444694,0.490056684422677,0.532736534396037,0.3118279569892473,0.4388531223797849,0.16396905842745393,239,0.8327998381313226,0.7430009884030344,0.7372333390112269,0.7550064141171496,0.7443151012874594,0.7624711361900387,0.035630108214940184,0.22222222222222224,0.6153846153846153,0.5,0.5333333333333333,0.3333333333333333,0.4408547008547009,0.14273903469518798,243,0.8378378378378377,0.7415730337078652,0.7311827956989247,0.7422680412371134,0.7391304347826088,0.75839842865287,0.039914531964593596,0.25755478662053055,0.46174548250672814,0.5455389695899199,0.4247084454696911,0.3148989898989899,0.4008893348171719,0.10308585713827345,428,0.8991760152999979,0.7842601936080198,0.7894417680716197,0.8281371308697941,0.8275592563621048,0.8257148728423072,0.041085367458091174
1,0.05255603790283203,0.0024159449969703853,0.015001010894775391,0.0020973294398604317,True,balanced,,1,2,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20, 'random_state': 0}",0.1988515990464937,0.6607928370444694,0.6196325140641716,0.4902846853428162,0.4848073488659871,0.4908737968727876,0.16171913945649694,217,0.8594919148369474,0.8086294669006499,0.8068968680151782,0.8068968680151782,0.8490102345730399,0.8261850704681987,0.023162913126700296,0.22222222222222224,0.6153846153846153,0.6250000000000001,0.46153846153846156,0.5,0.4848290598290599,0.1458955832827665,218,0.8607594936708861,0.8095238095238095,0.8045977011494254,0.8045977011494254,0.8470588235294119,0.8253075058045916,0.023819657228567468,0.24256087461722659,0.46174548250672814,0.5629215358433995,0.4362632528722494,0.35239197530864197,0.4111766242296492,0.10779607834322101,426,0.9180937058531513,0.8696589928243026,0.851373740922402,0.8721949778608035,0.8933075173801945,0.8809257869681708,0.02285280090351007
2,0.25035433769226073,0.011015741760093251,0.03519978523254395,0.0009802700607598298,True,balanced,,1,2,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100, 'random_state': 0}",0.1988515990464937,0.6607928370444694,0.6196325140641716,0.4902846853428162,0.4848073488659871,0.4908737968727876,0.16171913945649694,217,0.880689998539999,0.7840779333928144,0.7771617090436056,0.7704131796283624,0.798449102659235,0.8021583846528033,0.04034964114823197,0.22222222222222224,0.6153846153846153,0.6250000000000001,0.46153846153846156,0.5,0.4848290598290599,0.1458955832827665,218,0.878048780487805,0.7708333333333333,0.7628865979381444,0.7551020408163265,0.7872340425531915,0.7908209590257601,0.044893727034055954,0.2604765424488666,0.4730831558974581,0.620103089424537,0.47974594017869954,0.566519347488206,0.47998561508755344,0.12276231328497533,183,0.938322491430173,0.8935998321477556,0.8641319745659997,0.8806175956535229,0.9076995526928833,0.896874289298067,0.025227766922367913
3,0.016444873809814454,0.0004555808465959042,0.009818315505981445,0.0004094392462003531,True,balanced,,1,5,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 5, 'random_state': 0}",0.21646517481721522,0.532736534396037,0.45543967234718924,0.36048085478118236,0.46188696320176853,0.4054018399086784,0.10920021663850074,269,0.8107419127785361,0.7011150496493321,0.7394137978104164,0.7330895125147703,0.7484385924142934,0.7465597730334697,0.035834655818946834,0.23529411764705882,0.5333333333333333,0.47058823529411764,0.375,0.4761904761904762,0.4180812324929972,0.10457900194702456,261,0.8157894736842106,0.6947368421052632,0.7291666666666666,0.7115384615384616,0.7346938775510203,0.7371850643091244,0.041734287312393425,0.2682612456747405,0.47680379341278994,0.5177621302188776,0.4825096408141391,0.44398148148148153,0.43786365832040575,0.08797246139675242,411,0.8854494987083514,0.7649538341249545,0.7860566777336484,0.8072137455786863,0.8120040655128018,0.8111355643316885,0.04074407578300649
4,0.0529991626739502,0.001548988870775336,0.014200830459594726,0.0009802224634569842,True,balanced,,1,5,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20, 'random_state': 0}",0.21646517481721522,0.6607928370444694,0.5768622418198255,0.39302613653718516,0.4848073488659871,0.46639074781693646,0.1537403347888432,228,0.8594919148369474,0.8113963040786856,0.7985420380213339,0.7981516784309715,0.8490102345730399,0.8233184339881957,0.025915099451746068,0.23529411764705882,0.6153846153846153,0.5882352941176471,0.4,0.5,0.46778280542986417,0.1385485782084266,227,0.8607594936708861,0.8148148148148148,0.7954545454545455,0.7912087912087912,0.8470588235294119,0.8218592937356899,0.027693069808280905,0.2718138772536879,0.4680318635882285,0.600036781065298,0.44258071320405207,0.49473003848003844,0.45543865471826095,0.10629619508668069,358,0.9240097461823322,0.8672182446651953,0.8534636920395164,0.8665304156505262,0.8987030547765056,0.8819850306628151,0.025752432489008544
5,0.25499796867370605,0.003520539545087606,0.0352020263671875,0.0007490298720589552,True,balanced,,1,5,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100, 'random_state': 0}",0.1988515990464937,0.6607928370444694,0.5768622418198255,0.4902846853428162,0.4848073488659871,0.4823197424239184,0.15570147494922287,221,0.880689998539999,0.7840779333928144,0.7704131796283624,0.7704131796283624,0.798449102659235,0.8008086787697547,0.04126568410830994,0.22222222222222224,0.6153846153846153,0.5882352941176471,0.46153846153846156,0.5,0.4774761186525892,0.13942900287150517,223,0.878048780487805,0.7708333333333333,0.7551020408163265,0.7551020408163265,0.7872340425531915,0.7892640476013966,0.04595786408832329,0.26687137460366384,0.4675985668539941,0.6162227064636654,0.4756741773754461,0.5741508588625144,0.48010353683185675,0.12084475630348472,182,0.9342577715395536,0.9033205300241738,0.86255430647425,0.8826280976117324,0.9031458484572095,0.8971813108213839,0.023911315755503985
6,0.017200565338134764,0.0009783824780330065,0.010199594497680663,0.0003995658496490155,True,balanced,,1,10,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 5, 'random_state': 0}",0.1988515990464937,0.3807640840430135,0.42658730158730157,0.334017102874553,0.37839560580018816,0.34372313867030996,0.07813149330552092,327,0.7860140653813256,0.6289497447389718,0.7296168713397004,0.6852135687657779,0.7009876569056289,0.706156381426281,0.051679446857548536,0.22222222222222224,0.39999999999999997,0.4444444444444444,0.35294117647058826,0.3846153846153846,0.3608446455505279,0.07532032563095585,327,0.7816091954022987,0.611111111111111,0.712871287128713,0.6605504587155964,0.6792452830188679,0.6890774670753174,0.05677584227737087,0.2368693537828486,0.47183541039562643,0.5265843265410739,0.4559564792035062,0.5585648148148148,0.449962076947574,0.11277269886397427,388,0.8563125507618672,0.7348125641328827,0.7704361068565702,0.7920016394767724,0.7513140359363315,0.7809753794328848,0.04223539954892903
7,0.05280027389526367,0.0013273162820335996,0.014799976348876953,0.000748111633489689,True,balanced,,1,10,20,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 20, 'random_state': 0}",0.21646517481721522,0.6607928370444694,0.48487082036130197,0.36048085478118236,0.3920461576821289,0.42293116893725957,0.14689916675030992,250,0.8187212404038092,0.7372333390112269,0.7904822614557263,0.7372333390112269,0.79815817315981,0.7763656706083599,0.033259177229029685,0.23529411764705882,0.6153846153846153,0.5,0.375,0.39999999999999997,0.42513574660633485,0.1272670667837915,250,0.813953488372093,0.7311827956989247,0.782608695652174,0.7311827956989247,0.7912087912087912,0.7700273133261815,0.03332941085610983,0.24952326028450597,0.48042209287884025,0.6015282583621684,0.45525640007840656,0.5890480978716274,0.47515562189510974,0.12670849749184787,231,0.8940360930713223,0.8567993286339386,0.8386336884759089,0.8356363794281939,0.8814521639694328,0.8613115307157593,0.023110170830801784
8,0.24859910011291503,0.009134371125502465,0.03839998245239258,0.004841479243473065,True,balanced,,1,10,100,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100, 'random_state': 0}",0.1988515990464937,0.6607928370444694,0.5110188534024372,0.39302613653718516,0.40696794414104837,0.43413147403432684,0.15170442860313518,241,0.8345178985552012,0.7511079324025728,0.7573925077875495,0.7511079324025728,0.7704207315141416,0.7729094005324075,0.031601210381233424,0.22222222222222224,0.6153846153846153,0.5263157894736842,0.4,0.4166666666666667,0.43611785874943765,0.13244351902671556,248,0.8275862068965517,0.7326732673267327,0.74,0.7326732673267327,0.7551020408163265,0.7576069564732686,0.03593536619381165,0.26371073102434867,0.47787098089406826,0.6223875765398257,0.4744299608291838,0.5933424543645749,0.48634834073040023,0.12628209112686062,147,0.9312425900823434,0.8887423043800511,0.8702281031799357,0.8842149951378522,0.8918372671722208,0.8932530519904807,0.020383282534907204
9,0.015799283981323242,0.0003989956683044536,0.009400320053100587,0.0004898250471087897,True,balanced,,2,2,5,0,"{'bootstrap': True, 'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 5, 'random_state': 0}",0.17132616487455196,0.532736534396037,0.42658730158730157,0.3119047619047619,0.40696794414104837,0.36990454138074014,0.12157157160556621,292,0.8107419127785361,0.7282816474632762,0.7303432682314608,0.7120561662569562,0.7328600975194802,0.7428566184499419,0.034716063097759035,0.20000000000000004,0.5333333333333333,0.4444444444444444,0.3333333333333333,0.4166666666666667,0.38555555555555554,0.11263400797754831,287,0.8157894736842106,0.7252747252747254,0.7234042553191489,0.6923076923076924,0.7216494845360825,0.735685126224372,0.041843765917727024,0.23672145328719724,0.4788614065815142,0.5238486363053837,0.43447118423909714,0.4833333333333334,0.43144720274930515,0.10139582255978175,419,0.8832066250215667,0.7692846518553007,0.7833354430569067,0.8265938033291875,0.8103639823359083,0.814556901119774,0.03974822806504819
